c_at,g_at,year,10-DAY MA C_AT,10-DAY MA G_AT
9.08,8.72,1750,,
9.77,7.98,1751,,
1.69,5.78,1752,,
8.5,8.39,1753,,
8.73,8.47,1754,,
5.59,8.36,1755,,
9.07,8.85,1756,,
7.92,9.02,1757,,
7.08,6.74,1758,,
8.03,7.99,1759,7.546,8.03
6.44,7.19,1760,7.282,7.877
8.99,8.77,1761,7.204,7.956
8.52,8.61,1762,7.887,8.239
6.08,7.5,1763,7.645,8.15
8.53,8.4,1764,7.625,8.143
7.9,8.25,1765,7.856,8.132
8.99,8.41,1766,7.848,8.088
7.51,8.22,1767,7.807,8.008
7.47,6.78,1768,7.846,8.012
8.2,7.69,1769,7.863,7.995
8.08,7.69,1770,8.027,8.008
9,7.85,1771,8.028,8.027
8.69,8.19,1772,8.045,8.082
8.93,8.22,1773,8.33,8.149
8.4,8.77,1774,8.317,8.248
9.39,9.18,1775,8.466,8.249
8.46,8.3,1776,8.413,8.297
8.01,8.26,1777,8.463,8.319
5.93,8.54,1778,8.309,8.337
8.84,8.98,1779,8.373,8.387
11.57,9.43,1780,8.722,8.423
8.68,8.1,1781,8.69,8.597
8.14,7.9,1782,8.635,8.568
7.87,7.68,1783,8.529,8.514
7.71,7.86,1784,8.46,8.423
7.6,7.36,1785,8.281,8.241
8.13,8.26,1786,8.248,8.237
8.15,8.03,1787,8.262,8.214
8.74,8.45,1788,8.543,8.205
8.46,8.33,1789,8.505,7.982
8.38,7.98,1790,8.186,8.032
8.5,8.23,1791,8.168,7.94
7.95,8.09,1792,8.149,7.898
8.72,8.23,1793,8.234,7.97
8.78,8.53,1794,8.341,8.007
8.38,8.35,1795,8.419,8.1
8.25,8.27,1796,8.431,8.089
8.01,8.51,1797,8.417,8.093
8.84,8.67,1798,8.427,8.269
8.46,8.51,1799,8.427,8.398
8.55,8.48,1800,8.444,8.572
8.93,8.59,1801,8.487,8.14
9.16,8.58,1802,8.608,8.472
8.97,8.5,1803,8.633,8.499
8.81,8.84,1804,8.636,8.53
9.19,8.56,1805,8.717,8.551
8.49,8.43,1806,8.741,8.567
8.28,8.28,1807,8.768,8.544
8.37,7.63,1808,8.721,8.44
7.6,7.08,1809,8.635,8.297
7.89,6.92,1810,8.569,8.141
8.01,6.86,1811,8.477,7.968
6.77,7.05,1812,8.238,7.815
